Date,Symbol,Close,High,Low,Open,Volume,RSI,PROC,SO,WR,OBV,EWMA,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
2020-01-07,AAPL,72.14693450927734,72.75381577050801,71.9269071243437,72.49752175701711,108872000.0,63.00318453400097,0.0702015496046739,0.0,2.3475889326892165,474728400.0,72.21807689666748,-10.003010940890704,-1.0,-1.0,-1.0,-1.0
2020-01-08,AAPL,73.30751037597656,73.60974457641883,71.8495328881936,71.8495328881936,132079200.0,49.368844675120286,-0.0026423414396861,8.966622995052601,-3.05332242568137,364920000.0,72.94736707703142,-12.660392262359494,-1.0,-1.0,-1.0,1.0
2020-01-09,AAPL,74.86460876464844,75.05803566834844,74.03528003135865,74.28673353041597,170108400.0,51.53372964493156,0.0064616054766583,60.84622189683048,5.548959394029646,434316400.0,74.22728391794058,-10.46277022689469,1.0,-1.0,1.0,-1.0
2020-01-10,AAPL,75.03385925292969,75.59964810131231,74.53094485063419,75.0991465547697,140644800.0,55.867899682169416,0.0542847819525988,1.501372977900038,-12.090536498669492,548438400.0,74.7652467900422,-9.799984006859589,-1.0,-1.0,-1.0,-1.0
2020-01-13,AAPL,76.63692474365234,76.66352519200935,75.23214067732687,75.35062150930146,121532000.0,43.07492163752419,-0.0316605727672518,0.0,-73.42728281057805,37576000.0,76.01322230362311,-16.81766348506666,-1.0,-1.0,-1.0,-1.0
2020-01-14,AAPL,75.60206604003906,76.78440971103713,75.4787595103825,76.57405589932931,161954400.0,53.9331959490971,-0.0707199291054189,89.50584801476211,-100.0,-400761200.0,75.73910420125802,-17.19461115175031,-1.0,-1.0,-1.0,-1.0
2020-01-15,AAPL,75.27809143066406,76.28392794287467,74.84528990021097,75.4014053711113,121923600.0,54.35663958661942,-0.1656113325965106,90.8079496579287,-68.82193815972346,-1201552800.0,75.43175714924607,-25.63491331062144,1.0,1.0,1.0,1.0
2020-01-16,AAPL,76.22103881835938,76.33226630764163,75.45941017193344,75.82209118249474,108829200.0,54.60008947218298,-0.1592266339109189,73.10598349680889,-45.441092351053605,-1542027200.0,75.95794789901713,-31.97153199781289,1.0,1.0,1.0,1.0
2020-01-17,AAPL,77.06489562988281,77.06730848616459,76.16302603037396,76.47009335198214,137816400.0,56.94798922487735,-0.2244918021478308,81.74157207125407,-100.0,-2528508000.0,76.69591444154183,-36.82489339130318,1.0,1.0,1.0,1.0
2020-01-21,AAPL,76.54263305664062,77.13500771347044,76.4048124784183,76.69254005241989,110843200.0,56.81245353094794,-0.10699513521576,100.0,-61.6696462108588,-2328732000.0,76.59372678751299,-29.97707528039892,-1.0,1.0,-1.0,1.0
2020-01-22,AAPL,76.81584167480469,77.36952937649916,76.72154106940934,77.02860833807343,101832400.0,67.72522736428971,0.0380050780916882,83.62202621843274,-49.98526275718568,-2464078000.0,76.74180340999993,-28.650230375061085,-1.0,1.0,-1.0,1.0
2020-01-23,AAPL,77.18579864501953,77.26558524479366,76.32019557283769,76.86905772372998,104472000.0,62.636832342102416,0.1627104114519449,18.460185450163433,19.42416270751404,-2010217600.0,77.03780025397486,-23.222631685543547,-1.0,1.0,-1.0,1.0
2020-01-24,AAPL,76.96333312988281,78.17710300745777,76.772319051517,77.43240119345582,146537600.0,57.345589243615784,0.0553697794056342,28.998722810254087,-21.93320952597976,-2510503600.0,76.98815550342688,-28.279579657402977,1.0,1.0,1.0,1.0
2020-01-27,AAPL,74.70020294189453,75.38203764467593,73.71612668009978,74.96858335214901,161940000.0,56.33075115678564,0.0738154744187564,0.0,-14.047574815049517,-2387211600.0,75.46285378392744,-26.33471946275849,1.0,1.0,1.0,1.0
2020-01-28,AAPL,76.81341552734375,76.98508246127517,75.48358524576821,75.5827189340282,162234000.0,52.2216472749661,0.0461625367359709,63.15375759751433,-2.517113749179902,-2026164400.0,76.36322828186233,-22.264332839891352,1.0,1.0,1.0,1.0
2020-01-29,AAPL,78.42129516601562,79.26997098451972,77.70560679514402,78.44789560704737,216229200.0,58.89766166455178,0.1309417015817478,2.620485596618987,13.614852407008229,-1651132000.0,77.73527287247836,-19.23297057005155,-1.0,1.0,-1.0,1.0
2020-01-30,AAPL,78.30767822265625,78.36087174184341,77.06972800749904,77.50252948730524,126743200.0,59.68676142114007,0.0912577584012171,0.0,-0.1780267342220869,-1825724800.0,78.11687643937306,-19.34220278263362,1.0,1.0,-1.0,1.0
2020-01-31,AAPL,74.8355941772461,78.01992898157778,74.5406133579911,77.59680118060827,199588400.0,62.0093041021691,0.0610089399597467,0.0,-12.87859061672648,-1747682400.0,75.9293549310793,-18.66404333261805,1.0,1.0,1.0,1.0
2020-02-03,AAPL,74.63008117675781,75.79791078115785,73.07297011838175,73.57588453843302,173788400.0,62.92692641583093,0.0567853346016971,0.0,10.492559323120595,-1494728800.0,75.06317242817072,-17.49012582596184,-1.0,1.0,-1.0,1.0
2020-02-04,AAPL,77.09390258789062,77.28491667175436,75.83177225101083,76.23797325215806,136616400.0,68.32844490924116,0.1052847677638351,9.170740695953612,62.94141048688857,-1035020400.0,76.41699253466503,-11.283325628875955,-1.0,1.0,-1.0,1.0
